start1
5,100000,0:00:57,
(1.0, -0.877608, 0.908876, 0.00460201, 0.00362401)
(1.1, -0.82736, 0.872084, 0.0052929, 0.00415388)
(1.2, -0.787232, 0.842448, 0.00571437, 0.00448751)
(1.3, -0.748256, 0.814172, 0.00604832, 0.00473924)
(1.4, -0.693032, 0.77418, 0.00642145, 0.00501502)
(1.5, -0.651432, 0.743712, 0.00663095, 0.00517364)
(1.6, -0.612552, 0.716388, 0.00677757, 0.00526533)
(1.7, -0.582888, 0.695796, 0.0068542, 0.00530834)
(1.8, -0.55188, 0.674024, 0.00691694, 0.00534056)
(1.9, -0.52064, 0.652868, 0.00698962, 0.00535592)
(2.0, -0.501872, 0.641788, 0.00703929, 0.00534432)
(2.1, -0.473544, 0.621828, 0.00702768, 0.00532909)
(2.2, -0.445424, 0.603772, 0.00705872, 0.00530203)
(2.3, -0.437536, 0.600756, 0.0071063, 0.00528702)
(2.4, -0.417528, 0.587504, 0.00709522, 0.00525643)
(2.5, -0.39488, 0.571736, 0.00707765, 0.00522185)
(2.6, -0.387016, 0.566448, 0.00704641, 0.00519843)
(2.7, -0.365504, 0.55346, 0.00705503, 0.00515201)
(2.8, -0.349808, 0.543724, 0.00705449, 0.00511571)
(2.9, -0.343704, 0.540024, 0.00705551, 0.00510092)
(3.0, -0.33176, 0.533788, 0.00705314, 0.00506311)
(3.1, -0.32052, 0.526432, 0.00702632, 0.00502792)
(3.2, -0.310704, 0.521596, 0.00706579, 0.00500862)
(3.3, -0.301504, 0.514684, 0.00701546, 0.00497346)
(3.4, -0.28812, 0.508676, 0.00705567, 0.00493806)
(3.5, -0.28372, 0.50628, 0.00702659, 0.00491361)
(3.6, -0.273864, 0.500648, 0.00706731, 0.00489781)
(3.7, -0.26936, 0.498016, 0.00704393, 0.00487558)
(3.8, -0.263912, 0.496924, 0.00708611, 0.00486371)
(3.9, -0.25756, 0.491384, 0.00701674, 0.00482764)
(4.0, -0.24428, 0.48381, 0.0070029, 0.0047792)
end1
start2
10,100000,0:01:08,
(1.0, -0.79062, 0.723296, 0.00728652, 0.01074073)
(1.1, -0.740648, 0.667398, 0.00770316, 0.01096437)
(1.2, -0.6945, 0.614054, 0.00785101, 0.01095997)
(1.3, -0.66028, 0.58277, 0.00806031, 0.01080995)
(1.4, -0.614316, 0.534492, 0.00819457, 0.01060699)
(1.5, -0.589792, 0.515328, 0.0083562, 0.01047296)
(1.6, -0.547324, 0.484958, 0.00853484, 0.01014635)
(1.7, -0.531072, 0.475218, 0.00864658, 0.00997676)
(1.8, -0.504512, 0.45288, 0.00869075, 0.0097538)
(1.9, -0.486144, 0.438934, 0.00877018, 0.00958924)
(2.0, -0.462768, 0.42868, 0.00898462, 0.00946594)
(2.1, -0.445084, 0.415442, 0.00891149, 0.00922611)
(2.2, -0.423832, 0.404978, 0.00904863, 0.00899696)
(2.3, -0.409272, 0.39728, 0.00916662, 0.00897337)
(2.4, -0.396812, 0.39721, 0.00925256, 0.00889448)
(2.5, -0.379176, 0.381542, 0.009193, 0.00867242)
(2.6, -0.364772, 0.378314, 0.00938705, 0.00864914)
(2.7, -0.356748, 0.37248, 0.00942264, 0.00860726)
(2.8, -0.346512, 0.36589, 0.0093323, 0.00844223)
(2.9, -0.335876, 0.362786, 0.00942156, 0.00842982)
(3.0, -0.320388, 0.356502, 0.00945112, 0.00825447)
(3.1, -0.315728, 0.353216, 0.00951125, 0.0082415)
(3.2, -0.30146, 0.346382, 0.0094944, 0.00810978)
(3.3, -0.295348, 0.345068, 0.00963922, 0.00812394)
(3.4, -0.28546, 0.343484, 0.00963684, 0.00804712)
(3.5, -0.281092, 0.341656, 0.00964254, 0.00803476)
(3.6, -0.270768, 0.336536, 0.00962268, 0.00794759)
(3.7, -0.26598, 0.33328, 0.00961705, 0.00787768)
(3.8, -0.255376, 0.330518, 0.00968744, 0.00784651)
(3.9, -0.256288, 0.325292, 0.00966051, 0.00780811)
(4.0, -0.24384, 0.32234, 0.0096791, 0.0077175)
end2
start3
50,100000,0:01:56,
(1.0, -0.7690208, 0.33686, 0.01505084, 0.03761676)
(1.1, -0.7161872, 0.2863432, 0.01561622, 0.03270769)
(1.2, -0.6816256, 0.2773552, 0.01604914, 0.03258098)
(1.3, -0.6470992, 0.2585568, 0.01717898, 0.03026197)
(1.4, -0.6061728, 0.229226, 0.01792788, 0.02622145)
(1.5, -0.592108, 0.22504, 0.01746914, 0.02571522)
(1.6, -0.5535312, 0.2133564, 0.01882825, 0.0251868)
(1.7, -0.5276128, 0.210728, 0.01885391, 0.02477465)
(1.8, -0.5040672, 0.2005016, 0.01929957, 0.0237764)
(1.9, -0.4857888, 0.1854388, 0.01961276, 0.02210332)
(2.0, -0.465312, 0.1822648, 0.01985619, 0.02194864)
(2.1, -0.4379664, 0.1829868, 0.01993389, 0.02130371)
(2.2, -0.4259576, 0.1819324, 0.02020236, 0.02107235)
(2.3, -0.4061528, 0.1763828, 0.02046863, 0.02105058)
(2.4, -0.3943016, 0.179032, 0.02031288, 0.02084004)
(2.5, -0.3801568, 0.1710376, 0.02084281, 0.02030058)
(2.6, -0.3667872, 0.1691856, 0.02092566, 0.0200949)
(2.7, -0.359484, 0.1640548, 0.02104227, 0.01875367)
(2.8, -0.345152, 0.1585056, 0.02077267, 0.01894467)
(2.9, -0.3316888, 0.1627572, 0.02125103, 0.01922847)
(3.0, -0.3239856, 0.1609116, 0.02087665, 0.01886516)
(3.1, -0.3135264, 0.1563964, 0.02115134, 0.01851965)
(3.2, -0.2963232, 0.1514176, 0.02127269, 0.01798142)
(3.3, -0.2921384, 0.1519616, 0.02118745, 0.01836867)
(3.4, -0.2828256, 0.1543284, 0.02138351, 0.01844673)
(3.5, -0.2789768, 0.1480748, 0.02121341, 0.01779367)
(3.6, -0.2764712, 0.1539732, 0.02113708, 0.01841166)
(3.7, -0.2615792, 0.1436016, 0.02172, 0.01714366)
(3.8, -0.2593736, 0.1431888, 0.02154379, 0.01729559)
(3.9, -0.2495576, 0.1491548, 0.02176844, 0.01771293)
(4.0, -0.24645, 0.14342, 0.0216697, 0.0171461)
end3
start4
100,100000,0:03:02,
(1.0, -0.7575548, 0.2265502, 0.01975805, 0.05310014)
(1.1, -0.72129, 0.1897058, 0.02367772, 0.04381746)
(1.2, -0.674068, 0.1828364, 0.0232485, 0.04387709)
(1.3, -0.6436476, 0.1881988, 0.02324247, 0.04164751)
(1.4, -0.605818, 0.1529396, 0.02583367, 0.03636096)
(1.5, -0.5886044, 0.1531194, 0.02637469, 0.03554419)
(1.6, -0.5471848, 0.1379618, 0.02622097, 0.03101262)
(1.7, -0.5310516, 0.1428704, 0.0274326, 0.03373531)
(1.8, -0.5005508, 0.1349572, 0.02670231, 0.03037065)
(1.9, -0.4855924, 0.1394656, 0.02771261, 0.03235442)
(2.0, -0.4618984, 0.1343884, 0.02822395, 0.03155417)
(2.1, -0.440942, 0.1271796, 0.02789588, 0.0305651)
(2.2, -0.4270156, 0.128188, 0.02917838, 0.0314959)
(2.3, -0.4078644, 0.1281368, 0.02892757, 0.03046176)
(2.4, -0.3974912, 0.1149558, 0.02896171, 0.02713289)
(2.5, -0.3779344, 0.113945, 0.02930225, 0.02770352)
(2.6, -0.365466, 0.1181718, 0.02965247, 0.02803984)
(2.7, -0.3515664, 0.1202658, 0.02906704, 0.0271964)
(2.8, -0.3433524, 0.1084668, 0.03000057, 0.02604535)
(2.9, -0.3305996, 0.1196906, 0.02968082, 0.02856736)
(3.0, -0.3244484, 0.112153, 0.029324, 0.02637584)
(3.1, -0.3100476, 0.1094804, 0.0302427, 0.02598825)
(3.2, -0.3018164, 0.1138544, 0.03047437, 0.02666238)
(3.3, -0.2922804, 0.1114122, 0.03091898, 0.02695111)
(3.4, -0.2889848, 0.1072874, 0.03038227, 0.02590287)
(3.5, -0.2764168, 0.1061294, 0.02991008, 0.02503948)
(3.6, -0.2747804, 0.107461, 0.03086083, 0.02559064)
(3.7, -0.2643652, 0.105495, 0.03043726, 0.02531983)
(3.8, -0.2606672, 0.104374, 0.03071422, 0.02529048)
(3.9, -0.2509288, 0.107239, 0.03084711, 0.02544896)
(4.0, -0.24297, 0.100004, 0.0307966, 0.0238123)
end4
start5
200,100000,0:05:17,
(1.0, -0.7645886, 0.1504517, 0.03371353, 0.06072992)
(1.1, -0.7157098, 0.1328322, 0.03522298, 0.06522167)
(1.2, -0.6844604, 0.1144005, 0.03389795, 0.05205463)
(1.3, -0.651052, 0.1347204, 0.03525761, 0.06344167)
(1.4, -0.6149956, 0.1114673, 0.03757786, 0.05528896)
(1.5, -0.5754536, 0.1169034, 0.03909734, 0.05278555)
(1.6, -0.5497742, 0.0958785, 0.03795244, 0.04431426)
(1.7, -0.524126, 0.1078359, 0.03722697, 0.05116072)
(1.8, -0.504294, 0.0967179, 0.03748329, 0.04471702)
(1.9, -0.483277, 0.099463, 0.04089481, 0.04972864)
(2.0, -0.4655372, 0.1059706, 0.04217282, 0.05007137)
(2.1, -0.4464016, 0.0972233, 0.0409808, 0.0457314)
(2.2, -0.422782, 0.0881499, 0.0401013, 0.04063603)
(2.3, -0.4143388, 0.088527, 0.04175894, 0.0416272)
(2.4, -0.3903928, 0.0859143, 0.04292414, 0.04000036)
(2.5, -0.3793888, 0.0828944, 0.04133081, 0.03885485)
(2.6, -0.3669478, 0.0827874, 0.04247967, 0.03845026)
(2.7, -0.3534028, 0.0797675, 0.043952, 0.03910111)
(2.8, -0.3412068, 0.0756348, 0.04299465, 0.03576119)
(2.9, -0.3280368, 0.0853388, 0.04078468, 0.03961729)
(3.0, -0.3173366, 0.0759989, 0.04135184, 0.03492511)
(3.1, -0.3121554, 0.076719, 0.04188341, 0.03690875)
(3.2, -0.303335, 0.0781577, 0.04239981, 0.03666823)
(3.3, -0.2935026, 0.0753032, 0.0421677, 0.03560364)
