start1
4,100000,0:02:55,
(0.1, -2.0, 1.0, 0.0, 0.0)
(0.2, -2.0, 1.0, 0.0, 0.0)
(0.3, -2.0, 1.0, 0.0, 0.0)
(0.4, -2.0, 1.0, 0.0, 0.0)
(0.5, -2.0, 1.0, 0.0, 0.0)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -1.99992, 0.99998, 0.00016, 3.99994e-05)
(0.8, -1.99956, 0.99985, 0.00037519, 0.000135634007)
(0.9, -1.99814, 0.999395, 0.00077114, 0.000265973953)
(1.0, -1.99516, 0.998405, 0.00124301, 0.000434505286)
(1.1, -1.99244, 0.9975, 0.00155244, 0.000544612675)
(1.2, -1.9859, 0.995315, 0.00211666, 0.000746253102)
(1.3, -1.97618, 0.992085, 0.00275138, 0.000969116007)
(1.4, -1.96344, 0.98785, 0.00338902, 0.00119582386)
(1.5, -1.9478, 0.982685, 0.00404131, 0.00142255079)
(1.6, -1.9255, 0.975295, 0.00479352, 0.00168913428)
(1.7, -1.89622, 0.96545, 0.00562724, 0.00199023798)
(1.8, -1.86152, 0.954145, 0.00643324, 0.00226680886)
(1.9, -1.8475, 0.949425, 0.00673696, 0.00237655288)
(2.0, -1.81028, 0.937015, 0.00743365, 0.00262909328)
(2.1, -1.76088, 0.920245, 0.0082453, 0.00293208942)
(2.2, -1.73148, 0.91065, 0.00866941, 0.00307797777)
(2.3, -1.684, 0.89475, 0.00927784, 0.00330243835)
(2.4, -1.65552, 0.88544, 0.00961781, 0.00341963126)
(2.5, -1.60772, 0.86967, 0.0101329, 0.00360288556)
(2.6, -1.55274, 0.851435, 0.01064215, 0.00379044776)
(2.7, -1.50644, 0.83567, 0.01102844, 0.00394241799)
(2.8, -1.46838, 0.823645, 0.01132663, 0.00403687865)
(2.9, -1.45396, 0.81897, 0.01141794, 0.00407075766)
(3.0, -1.40754, 0.80389, 0.01174502, 0.00418295516)
(3.1, -1.36368, 0.78931, 0.01200577, 0.00428272568)
(3.2, -1.31394, 0.772785, 0.01227323, 0.00438510288)
(3.3, -1.28676, 0.763895, 0.0123792, 0.00442905236)
(3.4, -1.25414, 0.753265, 0.0125142, 0.0044805463)
(3.5, -1.22692, 0.743975, 0.01262047, 0.00452822227)
(3.6, -1.19972, 0.73588, 0.01274916, 0.00455784026)
(3.7, -1.16022, 0.722795, 0.01288584, 0.00461278602)
(3.8, -1.13586, 0.715035, 0.01295427, 0.0046374785)
(3.9, -1.10962, 0.705915, 0.01301122, 0.00467209378)
(4.0, -1.0671, 0.69267, 0.0131374, 4.70795462)
end1
start2
16,100000,0:05:30,
(0.1, -1.99995, 0.999985, 0.00028843, 8.94399463e-05)
(0.2, -1.99984, 0.99995875, 0.00046297, 0.000121637954)
(0.3, -1.9999875, 0.99999625, 0.00014422, 4.47211807e-05)
(0.4, -1.99972, 0.99992125, 0.00065223, 0.000190747183)
(0.5, -1.9999025, 0.99997125, 0.00039797, 0.000121647162)
(0.6, -1.9996075, 0.9998775, 0.00083019, 0.000265258907)
(0.7, -1.99976, 0.9999375, 0.00057119, 0.000152283393)
(0.8, -1.9993525, 0.99982875, 0.00094854, 0.000258312972)
(0.9, -1.9990725, 0.9997575, 0.00112544, 0.000301745533)
(1.0, -1.997525, 0.999375, 0.00178895, 0.000454974802)
(1.1, -1.9944, 0.998575, 0.00270522, 0.000696567622)
(1.2, -1.986905, 0.9964925, 0.00429469, 0.00126385182)
(1.3, -1.9812125, 0.9949775, 0.00510065, 0.00145253014)
(1.4, -1.96697, 0.99098125, 0.00686099, 0.00205937309)
(1.5, -1.9529575, 0.9868, 0.00823851, 0.00258139734)
(1.6, -1.92446, 0.9780025, 0.01059952, 0.00360041264)
(1.7, -1.8962725, 0.96875625, 0.01259517, 0.00453043101)
(1.8, -1.853595, 0.9532675, 0.01539716, 0.00591870749)
(1.9, -1.818355, 0.94323375, 0.01678303, 0.00618205628)
(2.0, -1.76314, 0.92226625, 0.01935612, 0.00768562937)
(2.1, -1.679935, 0.8892, 0.02236142, 0.00946652511)
(2.2, -1.6054675, 0.85953125, 0.02452236, 0.010744347)
(2.3, -1.5592675, 0.8439575, 0.02502615, 0.0109473964)
(2.4, -1.450005, 0.79449375, 0.02780934, 0.0127811587)
(2.5, -1.37407, 0.76284875, 0.02846392, 0.0133536644)
(2.6, -1.314045, 0.73577625, 0.0292529, 0.0140356846)
(2.7, -1.2055725, 0.6878075, 0.02947401, 0.0145300609)
(2.8, -1.121065, 0.64964375, 0.02975115, 0.014905405)
(2.9, -1.1004375, 0.6426825, 0.02946146, 0.0147793419)
(3.0, -0.9987775, 0.59325625, 0.02970829, 0.0151944162)
(3.1, -0.95588, 0.57307375, 0.02909292, 0.0150798427)
(3.2, -0.894375, 0.5441875, 0.02848299, 0.0150118275)
(3.3, -0.845385, 0.52090875, 0.02790577, 0.0149000755)
(3.4, -0.82829, 0.513315, 0.0281729, 0.0149899562)
(3.5, -0.7790425, 0.49011125, 0.02756363, 0.0147854067)
(3.6, -0.7499125, 0.47556, 0.02717221, 0.0146462631)
(3.7, -0.7084125, 0.4611625, 0.02607926, 0.0141791336)
(3.8, -0.67027, 0.4385875, 0.02555612, 0.0140938483)
(3.9, -0.63973, 0.4240825, 0.02518059, 0.0139008294)
(4.0, -0.62306, 0.4158012, 0.0244195, 1.36004305)
end2
start3
64,100000,0:13:30,
(0.1, -1.9993275, 0.99977063, 0.00375585, 0.00138256)
(0.2, -1.99907562, 0.99974, 0.00481585, 0.00135575)
(0.3, -1.99924188, 0.99977906, 0.00379608, 0.00115966)
(0.4, -1.99915875, 0.99976, 0.00427944, 0.00123355)
(0.5, -1.99949062, 0.99983188, 0.00356437, 0.00118611)
(0.6, -1.9988775, 0.99958781, 0.00534624, 0.00198411)
(0.7, -1.99915187, 0.99976438, 0.00342711, 0.00103273)
(0.8, -1.99868563, 0.99962031, 0.00508629, 0.00159051)
(0.9, -1.99755625, 0.99933719, 0.0047624, 0.00140799)
(1.0, -1.9959625, 0.99896312, 0.00580963, 0.00158795)
