start1
4,4000,0:00:04,
(0.1, -2.0, 1.0, 0.0, 0.0)
(0.2, -2.0, 1.0, 0.0, 0.0)
(0.3, -2.0, 1.0, 0.0, 0.0)
(0.4, -2.0, 1.0, 0.0, 0.0)
(0.5, -2.0, 1.0, 0.0, 0.0)
(0.6, -2.0, 1.0, 0.0, 0.0)
(0.7, -2.0, 1.0, 0.0, 0.0)
(0.8, -1.9945, 0.998125, 0.00662412, 0.00239498)
(0.9, -2.0, 1.0, 0.0, 0.0)
(1.0, -1.9975, 0.999125, 0.00446934, 0.00165739)
(1.1, -1.9935, 0.99775, 0.00719937, 0.00264192)
(1.2, -1.998, 0.999375, 0.003998, 0.00132228)
(1.3, -1.961, 0.98675, 0.01749045, 0.00630855)
(1.4, -1.9625, 0.9875, 0.01715736, 0.00607248)
(1.5, -1.944, 0.981875, 0.02086758, 0.00717189)
(1.6, -1.853, 0.950625, 0.03300854, 0.01181095)
(1.7, -1.9105, 0.970375, 0.02645674, 0.00925956)
(1.8, -1.8755, 0.95875, 0.0305614, 0.01077932)
(1.9, -1.815, 0.937875, 0.03664833, 0.01312676)
(2.0, -1.785, 0.928375, 0.03928231, 0.01395455)
(2.1, -1.761, 0.9205, 0.04122519, 0.01461913)
(2.2, -1.734, 0.911875, 0.04313903, 0.01525405)
(2.3, -1.696, 0.899625, 0.04602538, 0.0161694)
(2.4, -1.6525, 0.88425, 0.04801016, 0.01714374)
(2.5, -1.548, 0.849125, 0.05350499, 0.01913627)
(2.6, -1.605, 0.86925, 0.05059545, 0.01796156)
(2.7, -1.532, 0.845625, 0.05414706, 0.01915525)
(2.8, -1.443, 0.814375, 0.05740213, 0.0205894)
(2.9, -1.487, 0.83125, 0.05624344, 0.01981398)
(3.0, -1.393, 0.800375, 0.05911179, 0.0209368)
(3.1, -1.4055, 0.801375, 0.05870502, 0.02111735)
(3.2, -1.328, 0.777625, 0.06093984, 0.02175885)
(3.3, -1.281, 0.7615, 0.06206574, 0.02224794)
(3.4, -1.3055, 0.773875, 0.06218263, 0.02174212)
(3.5, -1.1265, 0.7115, 0.06455998, 0.0232179)
(3.6, -1.245, 0.749875, 0.06318148, 0.02258318)
(3.7, -1.1895, 0.733375, 0.06425231, 0.02284501)
(3.8, -1.1195, 0.71125, 0.06547426, 0.02323777)
(3.9, -1.1705, 0.727, 0.06452689, 0.02297573)
(4.0, -1.069, 0.69237, 0.0653984, 0.0235524)
end1
start2
16,16000,0:00:30,
(0.1, -1.99965625, 0.99991406, 0.00165774, 0.00041444)
(0.2, -1.999875, 0.99996875, 0.00099987, 0.00024997)
(0.3, -1.99971875, 0.99992969, 0.00149958, 0.00037489)
(0.4, -1.999875, 0.99996875, 0.00099987, 0.00024997)
(0.5, -1.9996875, 0.99992187, 0.00158064, 0.00039516)
(0.6, -1.99971875, 0.99992969, 0.00149958, 0.00037489)
(0.7, -1.999625, 0.99990625, 0.0017314, 0.00043285)
(0.8, -1.999625, 0.99990625, 0.0017314, 0.00043285)
(0.9, -1.99921875, 0.99980469, 0.00249805, 0.00062451)
(1.0, -1.999125, 0.99978125, 0.00264344, 0.00066086)
(1.1, -1.99471875, 0.99867969, 0.00646558, 0.0016164)
(1.2, -1.98884375, 0.99719531, 0.00938129, 0.00236823)
(1.3, -1.97826562, 0.99340625, 0.01500431, 0.00549357)
(1.4, -1.9743125, 0.99320312, 0.01497723, 0.00411304)
(1.5, -1.92309375, 0.97749219, 0.02791266, 0.00974699)
(1.6, -1.92657813, 0.98025781, 0.02419577, 0.00686464)
(1.7, -1.89129688, 0.96705469, 0.03309079, 0.01160654)
(1.8, -1.87254688, 0.96363281, 0.03367349, 0.01048413)
(1.9, -1.82589062, 0.94717969, 0.03889778, 0.01371704)
(2.0, -1.77164063, 0.92742969, 0.04633378, 0.01761842)
(2.1, -1.66470312, 0.884625, 0.05820785, 0.02393322)
(2.2, -1.66828125, 0.88904688, 0.05523271, 0.02269772)
(2.3, -1.490625, 0.80333594, 0.06878386, 0.03309834)
(2.4, -1.43167187, 0.78795313, 0.06914288, 0.03190782)
(2.5, -1.43490625, 0.78447656, 0.07018782, 0.03272514)
(2.6, -1.34464063, 0.75349219, 0.07008033, 0.03291431)
(2.7, -1.21275, 0.69236719, 0.07329767, 0.03578184)
(2.8, -1.20025, 0.68615625, 0.07175844, 0.03588919)
(2.9, -1.10815625, 0.64446875, 0.07375694, 0.03719204)
(3.0, -1.02792188, 0.60889844, 0.07270893, 0.03709395)
(3.1, -0.94189062, 0.56521094, 0.07151248, 0.0376116)
(3.2, -0.8603125, 0.51978906, 0.06919753, 0.03765841)
(3.3, -0.86951563, 0.52280469, 0.07253891, 0.03836064)
(3.4, -0.83140625, 0.52290625, 0.07044656, 0.03642173)
(3.5, -0.76671875, 0.48378125, 0.06818011, 0.03651897)
(3.6, -0.735375, 0.47805469, 0.06633497, 0.03570404)
(3.7, -0.6989375, 0.44889062, 0.06440813, 0.03574238)
(3.8, -0.657, 0.42898437, 0.0626288, 0.03487875)
(3.9, -0.65984375, 0.43664844, 0.0629172, 0.03489477)
(4.0, -0.6108906, 0.4000859, 0.0617975, 0.0344262)
end2
start3
36,36000,0:02:05,
(0.1, -1.99922531, 0.99979321, 0.00378635, 0.00103563)
(0.2, -1.99919136, 0.99974074, 0.00385876, 0.00125366)
(0.3, -1.99850617, 0.99960031, 0.00465805, 0.00126581)
(0.4, -1.99874383, 0.99962037, 0.00487169, 0.00147229)
(0.5, -1.9995679, 0.99989198, 0.00193555, 0.00048389)
(0.6, -1.99951235, 0.99987809, 0.00231822, 0.00057956)
(0.7, -1.99867284, 0.99958488, 0.00472564, 0.00152246)
(0.8, -1.99824691, 0.99956173, 0.00461752, 0.00115438)
(0.9, -1.99602778, 0.99900154, 0.00597628, 0.00151675)
(1.0, -1.99669444, 0.99909877, 0.00578326, 0.0016947)
(1.1, -1.99408951, 0.99850617, 0.00715191, 0.00181894)
(1.2, -1.98715432, 0.99672531, 0.01058349, 0.00274363)
(1.3, -1.98172222, 0.99494599, 0.01344483, 0.00416002)
